Sex,Age,Kidney.Disease,Total,rse
Female,2,0,6.9,0.0000
Female,3,0.2,9,0.5000
Female,4,0,7.6,0.0000
Female,5,0,8.9,0.0000
Female,6,0,7.4,0.0000
Female,7,0.1,6.8,0.5000
Female,8,0.1,7.4,0.5000
Female,9,0,7.1,0.0000
Female,10,0.3,7.6,0.5000
Female,11,0.3,7.5,0.5000
Female,12,0,7.2,0.0000
Female,13,0,8.1,0.0000
Female,14,0,6.7,0.0000
Female,15,0,7.6,0.0000
Female,16,0,7.2,0.0000
Female,17,0,6.1,0.0000
Female,18,0,6,0.0000
Female,19,0.4,7,0.4525
Female,20,0.2,5.6,0.5000
Female,21,0,5.8,0.0000
Female,22,0,7.6,0.0000
Female,23,0,6.4,0.0000
Female,24,0.2,5.4,0.5000
Female,25,0.1,4.9,0.5000
Female,26,0.2,5.1,0.5000
Female,27,0.4,5.8,0.4022
Female,28,0.1,5,0.5000
Female,29,0.1,5.4,0.5000
Female,30,0.2,4.8,0.5000
Female,31,0.1,4,0.5000
Female,32,0.1,4.4,0.5000
Female,33,0.2,4.4,0.5000
Female,34,0.1,5,0.5000
Female,35,0.1,4,0.5000
Female,36,0,4.2,0.0000
Female,37,0.2,4.6,0.5000
Female,38,0.4,4.7,0.4484
Female,39,0.3,6.4,0.4958
Female,40,0.1,5.7,0.5000
Female,41,0,4.7,0.5000
Female,42,0.3,5.1,0.4874
Female,43,0.2,5.3,0.3854
Female,44,0.1,3.7,0.4405
Female,45,0.2,4.5,0.5000
Female,46,0.1,3.9,0.5000
Female,47,0.3,5.3,0.4474
Female,48,0.2,3.4,0.4416
Female,49,0.2,4.2,0.4618
Female,50,0.2,4.6,0.5000
Female,51,0.4,5.2,0.5000
Female,52,0.4,3.5,0.5000
Female,53,0.2,3.8,0.4949
Female,54,0.1,2.8,0.5000
Female,55,0.1,3.1,0.5000
Female,56,0.2,4.3,0.5000
Female,57,0.2,3.5,0.5000
Female,58,0.1,2.6,0.5000
Female,59,0.1,2.2,0.5000
Female,60,0.2,3.5,0.5000
Female,61,0.6,2.9,0.3462
Female,62,0.1,2.2,0.5000
Female,63,0.2,2.2,0.5000
Female,64,0,1.4,0.5000
Female,65,0.3,2.2,0.4456
Female,66,0.1,1.4,0.5000
Female,67,0,2.3,0.5000
Female,68,0.1,1.4,0.5000
Female,69,0.1,1.9,0.5000
Female,70,0,1.2,0.0000
Female,71,0.1,1.3,0.5000
Female,72,0.1,0.7,0.5000
Female,73,0,1,0.5000
Female,74,0,0.7,0.0000
Female,75 or over,0.2,5.2,0.4200
Male,2,0,7.5,0.0000
Male,3,0,8,0.0000
Male,4,0.1,8.9,0.5000
Male,5,0,8.3,0.0000
Male,6,0,8.3,0.0000
Male,7,0.1,8.1,0.5000
Male,8,0,6.3,0.0000
Male,9,0.1,6.8,0.5000
Male,10,0.3,8.5,0.5000
Male,11,0.2,7,0.5000
Male,12,0,7.6,0.0000
Male,13,0,7.3,0.0000
Male,14,0,8,0.0000
Male,15,0,7.9,0.0000
Male,16,0,6.6,0.0000
Male,17,0,7.3,0.0000
Male,18,0,8.9,0.0000
Male,19,0,4.3,0.0000
Male,20,0,7.7,0.0000
Male,21,0,6.1,0.0000
Male,22,0,7,0.0000
Male,23,0,5.4,0.0000
Male,24,0,5.3,0.0000
Male,25,0.1,4.7,0.5000
Male,26,0.3,5.2,0.5000
Male,27,0,4.8,0.0000
Male,28,0,4.4,0.0000
Male,29,0,5.7,0.0000
Male,30,0,4.3,0.0000
Male,31,0.3,4.6,0.5000
Male,32,0.2,3.9,0.5000
Male,33,0.4,4.1,0.3768
Male,34,0.4,4,0.5000
Male,35,0.1,3.5,0.5000
Male,36,0.2,3.7,0.5000
Male,37,0,4.8,0.0000
Male,38,0.2,3.8,0.5000
Male,39,0.2,5.3,0.5000
Male,40,0.3,4.4,0.5000
Male,41,0.1,4.9,0.5000
Male,42,0.4,4.6,0.5000
Male,43,0,3.8,0.0000
Male,44,0,3.4,0.5000
Male,45,0.1,4,0.5000
Male,46,0,3.6,0.0000
Male,47,0.2,3.4,0.5000
Male,48,0.3,4.1,0.5000
Male,49,0.1,3.6,0.5000
Male,50,0.1,4.2,0.5000
Male,51,0.4,3.5,0.4277
Male,52,0,3.2,0.0000
Male,53,0.4,3.8,0.4662
Male,54,0.4,4.3,0.3867
Male,55,0.1,3.7,0.5000
Male,56,0.3,2.4,0.4985
Male,57,0.5,4,0.3942
Male,58,0.1,2.6,0.5000
Male,59,0.1,1.8,0.5000
Male,60,0.4,2.8,0.4158
Male,61,0.2,2,0.5000
Male,62,0.1,2.6,0.5000
Male,63,0.1,1.9,0.5000
Male,64,0.1,2.1,0.5000
Male,65,0.1,2.1,0.5000
Male,66,0.2,1.6,0.5000
Male,67,0.3,1.8,0.3859
Male,68,0.1,1.5,0.5000
Male,69,0,0.9,0.0000
Male,70,0,1.1,0.0000
Male,71,0,0.8,0.0000
Male,72,0.1,0.7,0.5000
Male,73,0.1,0.5,0.5000
Male,74,0.3,0.7,0.5000
Male,75 or over,0.3,3.4,0.4340