State,Remoteness,All.Kidney.Disease
New South Wales,Major Cities of Australia,46.1
New South Wales,Inner Regional Australia,21.1
New South Wales,Outer Regional Australia,4.3
New South Wales,Remote Australia,0
New South Wales,Very Remote Australia,0
New South Wales,Migratory - Offshore - Shipping,0
New South Wales,No usual address,0
Victoria,Major Cities of Australia,26.6
Victoria,Inner Regional Australia,9.5
Victoria,Outer Regional Australia,0
Victoria,Remote Australia,0
Victoria,Very Remote Australia,0
Victoria,Migratory - Offshore - Shipping,0
Victoria,No usual address,0
Queensland,Major Cities of Australia,27.6
Queensland,Inner Regional Australia,8.4
Queensland,Outer Regional Australia,1.4
Queensland,Remote Australia,0
Queensland,Very Remote Australia,0
Queensland,Migratory - Offshore - Shipping,0
Queensland,No usual address,0
South Australia,Major Cities of Australia,8.2
South Australia,Inner Regional Australia,0.9
South Australia,Outer Regional Australia,4.2
South Australia,Remote Australia,0
South Australia,Very Remote Australia,0
South Australia,Migratory - Offshore - Shipping,0
South Australia,No usual address,0
Tasmania,Major Cities of Australia,0
Tasmania,Inner Regional Australia,4.4
Tasmania,Outer Regional Australia,1.5
Tasmania,Remote Australia,0.5
Tasmania,Very Remote Australia,0
Tasmania,Migratory - Offshore - Shipping,0
Tasmania,No usual address,0
Western Australia,Major Cities of Australia,13.3
Western Australia,Inner Regional Australia,4.5
Western Australia,Outer Regional Australia,2.2
Western Australia,Remote Australia,1.6
Western Australia,Very Remote Australia,0
Western Australia,Migratory - Offshore - Shipping,0
Western Australia,No usual address,0
Northern Territory,Major Cities of Australia,0
Northern Territory,Inner Regional Australia,0
Northern Territory,Outer Regional Australia,1.3
Northern Territory,Remote Australia,0.5
Northern Territory,Very Remote Australia,0
Northern Territory,Migratory - Offshore - Shipping,0
Northern Territory,No usual address,0
Australian Capital Territory,Major Cities of Australia,2.6
Australian Capital Territory,Inner Regional Australia,0
Australian Capital Territory,Outer Regional Australia,0
Australian Capital Territory,Remote Australia,0
Australian Capital Territory,Very Remote Australia,0
Australian Capital Territory,Migratory - Offshore - Shipping,0
Australian Capital Territory,No usual address,0